Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
Shared IdP,"An Identity Provider (IdP) is a service that stores, maintains, and manages digital identities to authenticate users logging into an application. The API Services Portal uses a Shared IdP, which is a centralized B.C. Government IdP (SSO Gold-tier Keycloak cluster) that manages credentials and user access. The Shared IdP enables entities (APIs, applications, websites, and services) to access secured digital identities to control authentication and authorization. By using a Shared IdP, the API Services Portal enables API providers to delegate the responsibility of authentication and authorization to their chosen IdP (including IDIR, B.C. Services Card, GitHub ID).","An Identity Provider (IdP) is a service that stores, maintains, and manages digital identities to authenticate users logging into an application. The API Services Portal uses a Shared IdP, which is a centralized B.C. Government IdP (SSO Gold-tier Keycloak cluster) that manages credentials and user access. The Shared IdP enables entities (APIs, applications, websites, and services) to access secured digital identities to control authentication and authorization. By using a Shared IdP, the API Services Portal enables API providers to delegate the responsibility of authentication and authorization to their chosen IdP (including IDIR, B.C. Services Card, GitHub ID).",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,40b0a347-3615-4d3e-a2d7-402d7779f21b,shared-idp
API Secret,"The API Secret is a software-level credential (password) used to securely authenticate an application or user. The Secret is included in all API requests to identify the Consumer. The API Secret is used in combination with an API Key. The Secret is known only to the Consumer and the API gateway. It is only displayed upon creation and must be recorded by the Consumer. ","The API Secret is a software-level credential (password) used to securely authenticate an application or user. The Secret is included in all API requests to identify the Consumer. The API Secret is used in combination with an API Key. The Secret is known only to the Consumer and the API gateway. It is only displayed upon creation and must be recorded by the Consumer. ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,bafbb319-08cd-489a-8b54-eea31f5faf0e,api-secret
APS Platform,"The APS Platform is the API Program Service (APS) backend that enables data providers to manage their APIs and deliver services using the Kong API Gateway Community edition and a combination of tools to provide API security, authentication, routing, and publishing. ","The APS Platform is the API Program Service (APS) backend that enables data providers to manage their APIs and deliver services using the Kong API Gateway Community edition and a combination of tools to provide API security, authentication, routing, and publishing. ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,RJS 02/23: Need APS spelled out.,c5fa2b76-1476-48a7-b1e3-d2ad6811e5c6,aps-platform
B.C. Geographic Warehouse (BCGW),"The B.C. Geographic Warehouse (BCGW) is a central repository available to all sectors and ministries where data is hosted either as files or in a database and many ministries are now realizing the benefit of this centralized store. The BCGW is the central component of the Province’s Spatial Data Infrastructure. ","The B.C. Geographic Warehouse (BCGW) is a central repository available to all sectors and ministries where data is hosted either as files or in a database and many ministries are now realizing the benefit of this centralized store. The BCGW is the central component of the Province’s Spatial Data Infrastructure. ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,2868eed8-4f85-402b-bb57-4dff3d47bf6f,bc-geographic-warehouse-bcgw
"Extract, Transform, Load (ETL)","Extract, Transform, Load (ETL) is a process that extracts, transforms, and loads data from multiple sources to a data warehouse or other unified data repository. ","Extract, Transform, Load (ETL) is a process that extracts, transforms, and loads data from multiple sources to a data warehouse or other unified data repository. ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,a093d869-940a-4f09-ad34-bf427cbafc45,extract-transform-load-etl
Globally Unique Identifier (GUID) / Universally Unique Identifier (UUID),A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.,,No,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,"RJS 02/24: DR Standard has the following definition: Universally Unique Identifiers (UUID), also called Globally Unique Identifiers (GUID), are generated numbers that are, for all practical purposes, guaranteed to be unique across different systems and over time, without requiring central coordination. ",63bc7e36-7f64-4b1c-9807-7b1fa074abbf,globally-unique-identifier-guid-universally-unique-identifier-uuid
Gateway Administration (GWA) Command Line Interface (CLI),The Gateway Administration (GWA) Command Line Interface (CLI) is a tool for creating and publishing Gateway Services and other resources on the API Services Portal. Resources are defined in YAML configuration files. The GWA CLI helps support automated Gateway management through scripting.,The Gateway Administration (GWA) Command Line Interface (CLI) is a tool for creating and publishing Gateway Services and other resources on the API Services Portal. Resources are defined in YAML configuration files. The GWA CLI helps support automated Gateway management through scripting.,Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,6354620b-0b81-4566-b4aa-f5a013b58622,gateway-administration-gwa-command-line-interface-cli
Service,"A service represents an external upstream API or microservice consisting of a URL, which listens for incoming requests. ","A service represents an external upstream API or microservice consisting of a URL, which listens for incoming requests. ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,9a861f2f-4ec7-43fc-99bb-7430f87995bf,service
SDX Solution,"An implemented instance of SDX for a specific business purpose, including configuration, security controls, and participating systems. ","An implemented instance of SDX for a specific business purpose, including configuration, security controls, and participating systems. ",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,01b8026b-d73c-4183-ad83-9e623787974d,sdx-solution
SDX Ecosystem,"The implementation boundary (e.g., B.C.) for SDX members. Centrally managed by a single operator. Multiple SDX edge servers form an ecosystem. A key part of the ecosystem will be gateways that exist between the consumer and provider. ","The implementation boundary (e.g., B.C.) for SDX members. Centrally managed by a single operator. Multiple SDX edge servers form an ecosystem. A key part of the ecosystem will be gateways that exist between the consumer and provider. ",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,895fdfe7-568d-4747-a34c-d385fafbad98,sdx-ecosystem
