Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
Dependents,"Dependents include a spouse, children and dependent post-secondary students.","Dependents include a spouse, children and dependent post-secondary students.",Yes,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,,f131d1cc-1788-4e0a-9eb5-1d5696f55b05,dependents
Dependant,"In relation to another person, it means anyone who resides with the person and who is the spouse of the other person, or is a dependent child of the person, or indicates a parental role for the person's dependent child. 
Note: Adults are not considered to be dependants of each other on the sole basis of demonstrating a parental role towards the same child.

Dependant in the SDPR context refers to a child who lives with the applicant more than 50% of the time","In relation to another person, it means anyone who resides with the person and who is the spouse of the other person, or is a dependent child of the person, or indicates a parental role for the person's dependent child.  Note: Adults are not considered to be dependants of each other on the sole basis of demonstrating a parental role towards the same child.  ",Yes,,Income and Disability Assistance,ADR,https://www.myselfserve.gov.bc.ca/,Yes,,9a26479a-dc7f-40a2-bb24-bf2a10cddd1d,dependant
Dependent Child,"With respect to a parent, it means a child, other than a child who is 18 years of age and is a person with disabilities, who resides in the parent's place of residence for more than 50 per cent of each month and relies on that parent for the necessities of life. 

In relation to a dependent child, a parent includes but is not limited to:
•	A biological mother or father; 
•	An adoptive mother or father; 
•	A person with legal custody, other than a director under the Child, Family and Community Service Act or an administrator under the Adoption Act; 
•	A person with legal guardianship, other than a director under the Child, Family and Community Service Act or an administrator under the Adoption Act OR 
•	A person who is the parent of the parenting dependent child.","With respect to a parent, it means a child, other than a child who is 18 years of age and is a person with disabilities, who resides in the parent's place of residence for more than 50 per cent of each month and relies on that parent for the necessities of life.   In relation to a dependent child, a parent includes but is not limited to: A biological mother or father;  An adoptive mother or father;  A person with legal custody, other than a director under the Child, Family and Community Service Act or an administrator under the Adoption Act;  A person with legal guardianship, other than a director under the Child, Family and Community Service Act or an administrator under the Adoption Act OR  A person who is the parent of the parenting dependent child.A client temporarily caring for a child without legal custody or guardianship may also be considered a parent. Caring for a child may include one or more of the following, but is not limited to:making day-to-day decisions affecting the child;having day-to-day care, control and supervision of the child;making decisions respecting where the child will reside;making decisions respecting the child's education and participation in extracurricular activities;making decisions respecting the child's cultural, linguistic, religious and spiritual upbringing and heritage;applying for a passport, licence, permit, benefit, privilege or other thing for the child;exercising any other responsibilities reasonably necessary to nurture the child's development. Note: Under certain circumstance a dependent child may be excluded from a family unit. For example, when two parents are separated but are residing together and the dependent child resides with both the separated parents 100% of the time.  ",Yes,,Income and Disability Assistance,ADR,https://www.myselfserve.gov.bc.ca/,Yes,,be01f6fe-95b4-442b-99d3-cef40627dbea,dependent-child
Personal Health Number,"Each B.C. resident enrolled with the Medical Services Plan (MSP) is given a unique lifetime identifier for health care called a Personal Health Number (PHN). Your PHN remains the same, regardless of any changes to personal status, and can be found on your BC Services Card. ","Each B.C. resident enrolled with the Medical Services Plan (MSP) is given a unique lifetime identifier for health care called a Personal Health Number (PHN). Your PHN remains the same, regardless of any changes to personal status, and can be found on your BC Services Card. ",Yes,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/personal-health-identification,Yes,This definition needs improvement as it is not currently worded as a definition.,f0d40a49-1c4f-4ce1-af37-710022213d9c,personal-health-number
Ministries,"The B.C. Public Service is divided into ministries. Each ministry is responsible for a specific area of public policy, government function or service delivery.","The B.C. Public Service is divided into ministries. Each ministry is responsible for a specific area of public policy, government function or service delivery.",Yes,,Public Body,ADR,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,,b0d6b711-018a-4813-b39c-5fd922d4bdb5,ministries
Central government agencies,"There are many independent or partially independent agencies, boards and commissions that are essential to effectively governing the province. Agencies include authorities, boards, commissions, corporations and councils. A public agency also includes any bodies established by the government on an interim basis to perform arbitration, regulation or similar functions.","There are many independent or partially independent agencies, boards and commissions that are essential to effectively governing the province. Agencies include authorities, boards, commissions, corporations and councils. A public agency also includes any bodies established by the government on an interim basis to perform arbitration, regulation or similar functions.",Yes,,Public Body,ADR,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,,59c70873-115e-40f5-87d8-34abe3072752,central-government-agencies
Crown corporations,"Crown corporations are owned by the government, but operate at arm’s length from the public service and elected officials.","Crown corporations are owned by the government, but operate at arm’s length from the public service and elected officials.",Yes,,Public Body,ADR,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,,c702252b-5c28-4122-8a1c-1d75c0195165,crown-corporations
"Independent boards, commissions and tribunals","Independent boards, commissions and tribunals are established by the government to perform arbitration, regulation or similar functions. The provincial government appoints at least one representative to these agencies.","Independent boards, commissions and tribunals are established by the government to perform arbitration, regulation or similar functions. The provincial government appoints at least one representative to these agencies.",Yes,,Public Body,ADR,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,Need to separate these terms into their own rows.,37f79c0d-0380-4183-82e9-e756294c7d8e,independent-boards-commissions-and-tribunals
Professional regulatory authorities,Professional regulatory authorities are government agencies or public organizations with authority delegated by law from the government. They provide oversight and certification to specified regulated occupations in B.C.,Professional regulatory authorities are government agencies or public organizations with authority delegated by law from the government. They provide oversight and certification to specified regulated occupations in B.C.,Yes,,Public Body,ADR,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,,2da8d854-731d-43e2-9aec-fa5f6ef89c70,professional-regulatory-authorities
Public Body,,"A government-related organization or agency funded to deliver public services to citizens.  For example, a government ministry, central government agency, Crown corporation, or regulator.",Yes,,Connected Service,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20Public%20Bodies/Architecture/ADR-DataProvider_PublicBodies_Data%20Architecture_LIVING_DRAFT.docx?d=wcef46d3dc36e479797393b430a3164d8&csf=1&web=1&e=n26oDq,Yes,I improved the definition.,0e596bc1-8c35-41e0-a4b5-29d0705e8dfb,public-body
Public Body Type,It is the category of the public body as defined in public bodies defintion.,The category of the public body defined in public bodies definition.,Yes,,Public Body,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20Public%20Bodies/Architecture/ADR-DataProvider_PublicBodies_Data%20Architecture_LIVING_DRAFT.docx?d=wcef46d3dc36e479797393b430a3164d8&csf=1&web=1&e=n26oDq,Yes,This definition needs work.,cdc079e5-839a-42a2-a47d-dc8aa6bc095d,public-body-type
Residency,"Residency or ""Ordinarily resident"" in B.C. refers to the place where the applicant or recipient normally lives the regular routine of their day-to-day life. Indicators may include but are not limited to:•An established “place of residence” in B.C. Learn more by reviewing the support, shelter and special care page
•Residence of spouse, children, and other dependent family members in B.C.
•Legal and other documents indicating B.C. residence, such as utility bills
•B.C. driver's license or BC services card
•Registration of vehicles in B.C.
•Employment or business relationships in B.C.
•Links to community in B.C. through religious organizations, recreational and social clubs, unions, and professional organizations
•Life or health insurance policies in B.C., such as BC Medical Services Plan coverage
•Filing income tax returns as a B.C. resident
•Bank or other financial accounts with a home branch in B.C.
•Applying for government assistance, programs, and/or financial benefits in B.C.
•The frequency, length, purpose, and intention of stays within and outside of B.C.
Repeated instances of leaving BC, returning briefly, and then leaving again would most likely not be considered as ordinarily resident of B.C.. ","Residency or ""Ordinarily resident"" in B.C. refers to the place where the applicant or recipient normally lives the regular routine of their day-to-day life. Indicators may include but are not limited to:

•An established “place of residence” in B.C. Learn more by reviewing the support, shelter and special care page
•Residence of spouse, children, and other dependent family members in B.C.
•Legal and other documents indicating B.C. residence, such as utility bills
•B.C. driver's license or BC services card
•Registration of vehicles in B.C.
•Employment or business relationships in B.C.
•Links to community in B.C. through religious organizations, recreational and social clubs, unions, and professional organizations
•Life or health insurance policies in B.C., such as BC Medical Services Plan coverage
•Filing income tax returns as a B.C. resident
•Bank or other financial accounts with a home branch in B.C.
•Applying for government assistance, programs, and/or financial benefits in B.C.
•The frequency, length, purpose, and intention of stays within and outside of B.C.
Repeated instances of leaving BC, returning briefly, and then leaving again would most likely not be considered as ordinarily resident of B.C..",Yes,,General,ADR,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/application-and-intake/citizenship-requirements,Yes,,bba475a7-f153-439c-8063-16e1fb323bb2,residency
Applicant,(a) The person named on a land title form as the person acquiring an interest in land. (b) The person named as applicant in the application section is the person with whom land title staff is authorized to communicate with regarding an application.,(a) The person named on a land title form as the person acquiring an interest in land. (b) The person named as applicant in the application section is the person with whom land title staff is authorized to communicate with regarding an application.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,6d09e4b9-04df-48c4-95c4-d8035b8d9328,applicant
Conveyance,"A transfer of an estate or interest in land (other than by will) to a new owner through sale, lease, or other means. A transfer of title is the conveyance of an estate or interest in land in exchange for some financial consideration, typically a sale.","A transfer of an estate or interest in land (other than by will) to a new owner through sale, lease, or other means. A transfer of title is the conveyance of an estate or interest in land in exchange for some financial consideration, typically a sale.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,2a494f8e-b0aa-488c-938b-263ec44bea61,conveyance
Corporation,"A corporation means a company, a body corporate, a body politic and corporate, an incorporated association or a society, however and wherever incorporated, but does not include a municipality or a corporation sole.","A corporation means a company, a body corporate, a body politic and corporate, an incorporated association or a society, however and wherever incorporated, but does not include a municipality or a corporation sole.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,d35d9711-f47d-4fb4-99f1-afc54be2c143,corporation
Crown Land,"Land owned and administered by a government, either federal or provincial. In British Columbia, Federal (Canadian) Crown land includes National Parks, Indian Reserves, federal ports and military bases. Provincial Crown land includes provincial parks and all ungranted land (wilderness) within the provincial boundaries. Most of British Columbia is Crown land.","Land owned and administered by a government, either federal or provincial. In British Columbia, Federal (Canadian) Crown land includes National Parks, Indian Reserves, federal ports and military bases. Provincial Crown land includes provincial parks and all ungranted land (wilderness) within the provincial boundaries. Most of British Columbia is Crown land.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,47904b3d-591e-4dda-a916-92eca9bde64d,crown-land
Document,"A document refers to any of the land title forms or supporting material (including survey plans) which are submitted as part of an application to register an interest in land within British Columbia. Examples include: title transfers, mortgages and easements. ","A document refers to any of the land title forms or supporting material (including survey plans) which are submitted as part of an application to register an interest in land within British Columbia. Examples include: title transfers, mortgages and easements. ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,69821c3e-e020-4626-a059-962b92c02e86,document
Equity,Equity is defined as the value of a piece of property (such as a house) after any debts that remain to be paid for it (such as the amount of a mortgage) have been subtracted.,Equity is defined as the value of a piece of property (such as a house) after any debts that remain to be paid for it (such as the amount of a mortgage) have been subtracted.,No,,Income and Disability Assistance,ADR,https://SDPR – Figma board,No,,d54e2688-72a8-4d72-b742-e7dacc9c1ab0,equity
Fee Simple,Fee Simple is the form of ownership of real property (real estate) in which the owner has the right to control and transfer the property at will.,Fee Simple is the form of ownership of real property (real estate) in which the owner has the right to control and transfer the property at will.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,82795198-6b43-4ae2-a48c-18c4327aee7e,fee-simple
Interest Holder,"A beneficial owner of a relevant trust, a corporate interest holder of a relevant corporation, or a partnership interest holder of a relevant partnership","A beneficial owner of a relevant trust, a corporate interest holder of a relevant corporation, or a partnership interest holder of a relevant partnership",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,c1616d68-0fb8-4dbc-8f44-9b2d300c6c84,interest-holder
Interest in Land,"As defined in LOTA, this term refers to an estate in fee simple;
•	a life estate in land;
•	a right to occupy land under a lease that has a term of more than 10 years;
•	a right under an agreement for sale to occupy land,
•	or require the transfer of an estate in fee simple.
","As defined in LOTA, this term refers to an estate in fee simple;
•	a life estate in land;
•	a right to occupy land under a lease that has a term of more than 10 years;
•	a right under an agreement for sale to occupy land,
•	or require the transfer of an estate in fee simple.
",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,89c2ce5b-229f-4f1b-8deb-8257036a1460,interest-in-land
Land Act,"An enactment that provides the statutory framework for the administration of Crown land, establishes the responsibilities of government Ministers regarding the administration of Crown land and provides for the delegation of certain authorities. Many powers have been delegated to the Surveyor General with respect to Crown land definition and disposition.","An enactment that provides the statutory framework for the administration of Crown land, establishes the responsibilities of government Ministers regarding the administration of Crown land and provides for the delegation of certain authorities. Many powers have been delegated to the Surveyor General with respect to Crown land definition and disposition.",Yes,,Property Ownership,ADR,"https://ltsa.ca/property-owners/about-land-records/glossary/
http://www.bclaws.ca/EPLibraries/bclaws_new/document/ID/freeside/00_96245_01",Yes,,e4af8fd0-8e69-46d7-8a88-1b2220f20ef9,land-act
Land Owner Transparency Act,"The Land Owner Transparency Act was passed by the government of British Columbia in May 2019. The first-of-its-kind in Canada, it created an accessible registry of beneficial interests in land in B.C. – the Land Owner Transparency Registry.","The Land Owner Transparency Act was passed by the government of British Columbia in May 2019. The first-of-its-kind in Canada, it created an accessible registry of beneficial interests in land in B.C. – the Land Owner Transparency Registry.",Yes,,Property Ownership,ADR,"https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19023
https://ltsa.ca/property-owners/about-land-records/glossary/",Yes,,22f1bfee-dbff-400f-b1a6-12e851e11f4c,land-owner-transparency-act
Land Owner Transparency Registry,"A publicly searchable registry of information about beneficial ownership of land in British Columbia. Beneficial owners are people who own or control land indirectly, such as through a corporation, partnership, or trust. The registry is intended to end hidden ownership of land in BC. The Land Owner Transparency Registry launched November 30, 2020, and opened to public search on April 30, 2021. ","A publicly searchable registry of information about beneficial ownership of land in British Columbia. Beneficial owners are people who own or control land indirectly, such as through a corporation, partnership, or trust. The registry is intended to end hidden ownership of land in BC. The Land Owner Transparency Registry launched November 30, 2020, and opened to public search on April 30, 2021. ",Yes,,Property Ownership,ADR,"https://landtransparency.ca/
https://ltsa.ca/property-owners/about-land-records/glossary/",Yes,,a2b46bd5-1828-4c54-8d65-0c211147f2be,land-owner-transparency-registry
Land Title Act,"A comprehensive 400-section statute that prescribes the legal program under which the land title system operates, the Land Title Act designates:
•	The Director of Land Titles to regulate land title practice.
•	The Registrar(s) of Land Titles as the primary statutory decision maker(s) in the administration of the land title system.
The Land Title Act establishes the land title register and requirements respecting its operation and records.
","A comprehensive 400-section statute that prescribes the legal program under which the land title system operates, the Land Title Act designates:
•	The Director of Land Titles to regulate land title practice.
•	The Registrar(s) of Land Titles as the primary statutory decision maker(s) in the administration of the land title system.
The Land Title Act establishes the land title register and requirements respecting its operation and records.
",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,63e3ece2-6ce1-4b44-bb88-68a0f4b7ebe5,land-title-act
Land Title Register,"That part of the records of the land title office, including electronic records, where information respecting registered indefeasible titles is stored. It is independently maintained by the LTSA under the statutory authority of the registrars of land titles and in accordance with the requirements of the Land Title Act respecting permanent records retention.","That part of the records of the land title office, including electronic records, where information respecting registered indefeasible titles is stored. It is independently maintained by the LTSA under the statutory authority of the registrars of land titles and in accordance with the requirements of the Land Title Act respecting permanent records retention.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,7e3aa98f-e12e-4d90-bcc6-e37c4b03c393,land-title-register
Legal Description,"A unique identifier for each parcel of land in the province. It is a text description that may include lot number, plan number, survey system identifiers (Range, Block, Township, District Lot, District, etc.) and other text. ","A unique identifier for each parcel of land in the province. It is a text description that may include lot number, plan number, survey system identifiers (Range, Block, Township, District Lot, District, etc.) and other text. ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,1129d94e-bfd4-4204-a540-bed4057dbd33,legal-description
Legal Notations,"Information recorded against a title to land following the receipt of an application concerning matters other than ownership of interests in land, such as statutory restrictions on use (such as the application of a heritage designation bylaw) or rights relating to other land (such as the existence of an appurtenant easement on the title of adjacent land).","Information recorded against a title to land following the receipt of an application concerning matters other than ownership of interests in land, such as statutory restrictions on use (such as the application of a heritage designation bylaw) or rights relating to other land (such as the existence of an appurtenant easement on the title of adjacent land).",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,9c671e89-8279-4ac6-a2f4-7e3877329857,legal-notations
Lien,"An interest in land claimed to secure the payment of a debt or the performance of some other obligation. Examples include Claim of Builders Lien for payment of debt related to labour or materials, Certificate of Lien for payment of strata fees, or Tax Act Liens for payment of various taxes.","An interest in land claimed to secure the payment of a debt or the performance of some other obligation. Examples include Claim of Builders Lien for payment of debt related to labour or materials, Certificate of Lien for payment of strata fees, or Tax Act Liens for payment of various taxes.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,c9a6cb24-70a8-4dc2-99cb-f04e4ede857c,lien
Mortgage,An interest in land granted by the registered owner (the mortgagor) to a lender (the mortgagee) as security for a debt.,An interest in land granted by the registered owner (the mortgagor) to a lender (the mortgagee) as security for a debt.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,b67147da-091b-422e-bf32-b00d1eb4bd11,mortgage
Parcel,"A lot, block or other area in which land is held or into which land is subdivided.","A lot, block or other area in which land is held or into which land is subdivided.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,356ab59c-4cbf-4013-81bb-6c4ef99acda9,parcel
Parcel Identifier (PID),A nine-digit number that uniquely identifies a parcel in the land title register of British Columbia. The registrar assigns PID numbers to parcels for which a title is being entered in the computer register as a registered title. The Land Title Act refers to the PID as the permanent parcel identifier.,A nine-digit number that uniquely identifies a parcel in the land title register of British Columbia. The registrar assigns PID numbers to parcels for which a title is being entered in the computer register as a registered title. The Land Title Act refers to the PID as the permanent parcel identifier.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,9927b997-f126-4338-817a-8d9a2279ce64,parcel-identifier-pid
Property Transfer Tax,"A tax paid when one purchases or gains an interest in property that is registered at the land title office. The provincial Ministry of Finance is responsible for administering the Property Transfer Tax (PTT). ","A tax paid when one purchases or gains an interest in property that is registered at the land title office. The provincial Ministry of Finance is responsible for administering the Property Transfer Tax (PTT). ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,664dd248-60c1-4db7-8b9e-b04004728197,property-transfer-tax
Registered Owner,"A registered owner is the person who owns an interest in land, either in terms of ownership of title in fee simple, or ownership of a charge. A registered owner is recorded in the land title register upon registration. ","A registered owner is the person who owns an interest in land, either in terms of ownership of title in fee simple, or ownership of a charge. A registered owner is recorded in the land title register upon registration. ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,446482a5-dc2c-4dac-86b7-b90c7650c997,registered-owner
Registrar,"An official keeper or recorder of records. The Registrar is a statutory decision maker under the Land Title Act, and an employee of the LTSA with a statutory responsibility under LOTA to refuse an application to register an interest in land if the transferee fails to submit a transparency declaration with the application and, in the event the transferee is a reporting body fails to submit a transparency report.","An official keeper or recorder of records. The Registrar is a statutory decision maker under the Land Title Act, and an employee of the LTSA with a statutory responsibility under LOTA to refuse an application to register an interest in land if the transferee fails to submit a transparency declaration with the application and, in the event the transferee is a reporting body fails to submit a transparency report.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,9a892ea4-b453-4199-9cfe-29ea05e722dd,registrar
Registration Number,The unique serial number assigned to each entry in the Land Title Register.,The unique serial number assigned to each entry in the Land Title Register.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,24edfde0-fa2d-488d-ab91-8552e2fc15ec,registration-number
Title,"Depending on the context in which it is used title means, on the one hand the right of ownership of land and, on the other, the instruments or evidence of such right. In the register, title to land evidences fee simple ownership of land in one or more Registered Owner(s). Also referred to as land title and indefeasible title. A title may also refer to the ownership of interests in land less than fee simple, such as a mortgage or easement.","Depending on the context in which it is used title means, on the one hand the right of ownership of land and, on the other, the instruments or evidence of such right. In the register, title to land evidences fee simple ownership of land in one or more Registered Owner(s). Also referred to as land title and indefeasible title. A title may also refer to the ownership of interests in land less than fee simple, such as a mortgage or easement.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,ee562ba5-e061-44b3-9986-459528b77ab5,title
Title Search,A record issued by the land title office setting out the particulars of a title to land generated from information contained in the register at a specific point in time.,A record issued by the land title office setting out the particulars of a title to land generated from information contained in the register at a specific point in time.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,41ca152f-7755-4250-9269-351b9cd03945,title-search
Transfer,"The voluntary act of a registered owner of an interest in land transferring that interest to another person, typically as a consequence of a sale or gift of the land to that person. The term includes a conveyance, a grant and an assignment. ","The voluntary act of a registered owner of an interest in land transferring that interest to another person, typically as a consequence of a sale or gift of the land to that person. The term includes a conveyance, a grant and an assignment. ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,7d1b54b7-1835-4754-8bea-53494a6eec2f,transfer
Transferee,"An individual or corporation to whom an interest in land is transferred. Includes a grantee, an assignee and a person entitled by transmission to be a registered owner of an interest in land.","An individual or corporation to whom an interest in land is transferred. Includes a grantee, an assignee and a person entitled by transmission to be a registered owner of an interest in land.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,8c25ff9a-09e9-441b-a236-243d40141d14,transferee
Transferor,An individual or corporation transferring an interest in land to another party.,An individual or corporation transferring an interest in land to another party.,Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,fba45266-f00a-4ceb-9b01-84a77f2d3c46,transferor
Transmission,"A change of ownership of land consequent on death, sale under execution, order of court or other act of law, or on any testamentary settlement or legal succession in the case of intestacy.","A change of ownership of land consequent on death, sale under execution, order of court or other act of law, or on any testamentary settlement or legal succession in the case of intestacy.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,5fe7c652-7a9b-439d-b783-d25b18548149,transmission
Transparency Declaration,"A declaration that is filed by each transferee together with an application to register an interest in land, stating whether the transferee is a reporting body, and, if the transferee is a reporting body, whether the reporting body is a relevant corporation, a trustee or a relevant trust, or a partner of a relevant partnership. Transparency declarations may also be filed at any time, independently of an application to register an interest in land to correct information contained in a previously filed transparency declaration.","A declaration that is filed by each transferee together with an application to register an interest in land, stating whether the transferee is a reporting body, and, if the transferee is a reporting body, whether the reporting body is a relevant corporation, a trustee or a relevant trust, or a partner of a relevant partnership. Transparency declarations may also be filed at any time, independently of an application to register an interest in land to correct information contained in a previously filed transparency declaration.",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,a86eddf8-7c95-4641-9b92-e5faf8702655,transparency-declaration
Transparency Report,"A report that is filed with a transparency declaration on an application to register an interest in land, if the transferee is a reporting body. The transparency report contains information about the reporting body and its interest holder(s). ","A report that is filed with a transparency declaration on an application to register an interest in land, if the transferee is a reporting body. The transparency report contains information about the reporting body and its interest holder(s). ",Yes,,Property Ownership,ADR,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,,1ebfdeb3-f747-402d-ae50-d55d13894984,transparency-report
Spouse,A resident of B.C. who is married to or is living and cohabiting in a marriage-like relationship with the applicant.,A resident of B.C. who is married to or is living and cohabiting in a marriage-like relationship with the applicant.,No,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,,0cd3330c-bcea-4bfc-bdd1-82fab972cb11,spouse
Child,A resident of B.C. who meets all of the following conditions:Is a child of a beneficiary or a person who stands in place of a parentWho is a minorDoes not have a spouseIs supported by the beneficiary,A resident of B.C. who meets all of the following conditions:Is a child of a beneficiary or a person who stands in place of a parentWho is a minorDoes not have a spouseIs supported by the beneficiary,No,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,,4cae3d1b-fbb0-4a76-8d38-548fffbd5cf0,child
Dependent post-secondary student,"A resident of B.C. who meets all of the following conditions:Older than 18 and younger than 25 years of age In full-time attendance at a recognized post-secondary institution (this includes trade, technical or high schools) Supported by a beneficiary who is the person’s parent or who stands in place of the person’s parent","A resident of B.C. who meets all of the following conditions:

Older than 18 and younger than 25 years of age

In full-time attendance at a recognized post-secondary institution (this includes trade, technical or high schools)

Supported by a beneficiary who is the person’s parent or who stands in place of the person’s parent",No,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,,b60208a0-869d-4a97-b818-5a0688777be3,dependent-post-secondary-student
Resident,"A resident is a person who meets all of the following conditions:A citizen of Canada or lawfully admitted to Canada for permanent residenceMakes their home in B.C.Physically present in B.C. at least six months in a calendar yearEligible B.C. residents (citizens of Canada or persons who are lawfully admitted to Canada for permanent residence) who are outside B.C. for vacation purposes only, are allowed a total absence of up to seven months in a calendar year","A resident is a person who meets all of the following conditions:

A citizen of Canada or lawfully admitted to Canada for permanent residence

Makes their home in B.C.

Physically present in B.C. at least six months in a calendar year

Eligible B.C. residents (citizens of Canada or persons who are lawfully admitted to Canada for permanent residence) who are outside B.C. for vacation purposes only, are allowed a total absence of up to seven months in a calendar year",No,,Medical Service Plan,ADR,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,,bb195bf0-b77c-4749-af98-10374de33640,resident
Peer-to-Peer Data Exchange,A data exchange model/pattern where trusted participants exchange data directly through mutually governed intermediaries.,,No,SDX,General,APS,,No,,de4a5cb6-7582-497a-9531-6a5768101249,peer-to-peer-data-exchange
